Set_number,Trial,Treatment,Species Richness,Simpson (inverse),Shannon,Evenness
101,1,One dominant,10,1.761061934,1.103,0.479
102,1,One dominant,10,1.761061934,1.103,0.479
103,1,One dominant,10,1.761061934,1.103,0.479
104,1,One dominant,10,1.761061934,1.103,0.479
105,1,One dominant,10,1.761061934,1.103,0.479
106,1,One dominant,10,1.761061934,1.103,0.479
107,1,One dominant,10,1.761061934,1.103,0.479
108,1,One dominant,10,1.761061934,1.103,0.479
109,1,One dominant,10,1.761061934,1.103,0.479
110,1,One dominant,10,1.761061934,1.103,0.479
111,1,One dominant,10,1.761061934,1.103,0.479
112,1,One dominant,10,1.761061934,1.103,0.479
201,2,Even ,10,10.47368387,2.3025,1
202,2,Even ,10,10.47368387,2.3025,1
203,2,Even ,10,10.47368387,2.3025,1
204,2,Even ,10,10.47368387,2.3025,1
205,2,Even ,10,10.47368387,2.3025,1
206,2,Even ,10,10.47368387,2.3025,1
207,2,Even ,10,10.47368387,2.3025,1
208,2,Even ,10,10.47368387,2.3025,1
209,2,Even ,10,10.47368387,2.3025,1
210,2,Even ,10,10.47368387,2.3025,1
211,2,Even ,10,10.47368387,2.3025,1
212,2,Even ,10,10.47368387,2.3025,1
301,3,Random,6,6.03579,1.78242,0.9948
302,3,Random,10,8.079578,2.15609,0.936379
303,3,Random,13,10.55143,2.41555,0.941752
304,3,Random,12,7.199711,2.18099,0.877695
305,3,Random,13,6.329517,2.13217,0.831271
306,3,Random,7,4.929403,1.720829,0.884331
307,3,Random,10,7.947284,2.15085,0.934104
308,3,Random,9,4.982474,1.85542,0.844437
309,3,Random,9,5.075236,1.80425,0.82115
310,3,Random,8,4.764185,1.69513,0.815185
311,3,Random,11,2.45679,1.41604,0.590536
312,3,Random,11,7.112223,2.05259,0.855996